Address,Bldg No,exemptVSincomplete,School Type,Total Geogs,Category,City,Count,County,District Name,ESD,Enroll Text,Enrollment,Geography,Grade,Group,LL,Latitude,Longitude,Number of Records,Percent,Reliable,Reported,School Name,School Year,School District,State,Type,UL,Zip,Has6,Hask
2323 39th Ave SE,3896,exempt,PUBLIC,2764,Exemption,Puyallup,10,Pierce,Puyallup,Educational Service District 121,512,512,School,K-12,Personal,1.8%,47.15465,-122.26663,1,2.0%,Yes,1,Sunrise Elementary,2018-19,Puyallup,WA,PUBLIC,2.1%,98374,1,1
12616 Shaw Rd E,4121,exempt,PUBLIC,2764,Exemption,Puyallup,29,Pierce,Puyallup,Educational Service District 121,530,530,School,K-12,Personal,5.3%,47.14265,-122.25801,1,5.5%,Yes,1,Ridgecrest Elementary,2018-19,Puyallup,WA,PUBLIC,5.7%,98374,1,1
15102 122nd Ave E,4146,exempt,PUBLIC,2764,Exemption,Puyallup,16,Pierce,Puyallup,Educational Service District 121,596,596,School,K-12,Personal,2.6%,47.11774,-122.26682,1,2.7%,Yes,1,Pope Elementary,2018-19,Puyallup,WA,PUBLIC,2.8%,98374,1,1
6312 Waller Rd E,2495,exempt,PUBLIC,2764,Exemption,Tacoma,11,Pierce,Puyallup,Educational Service District 121,343,343,School,K-12,Personal,3.0%,47.19924,-122.38915,1,3.2%,Yes,1,Waller Road Elementary,2018-19,Puyallup,WA,PUBLIC,3.5%,98443,1,1
557 SCHOOL RD,1892,exempt,PUBLIC,2764,Exemption,Eastsound,4,San Juan,Orcas Island,Educational Service District 189,377,377,School,K-12,Personal,0.9%,48.69858,-122.90521,1,1.1%,Yes,1,Oasis K-12,2018-19,Orcas Island,WA,PUBLIC,1.3%,98245,1,1
2001 Cleveland Ave,1992,exempt,PUBLIC,2764,Exemption,Mount Verno,113,Skagit,Mt Vernon,Educational Service District 189,334,334,School,K-12,Personal,33.5%,48.40634,-122.33921,1,33.8%,Yes,1,Skagit Academy,2018-19,Mount Vernon,WA,PUBLIC,34.2%,98273,1,1
23953 Prairie Road,3402,exempt,PUBLIC,2764,Exemption,Sedro-Wooll,9,Skagit,Sedro Woolley,Educational Service District 189,181,181,School,K-12,Personal,4.7%,48.5868,-122.2288,1,5.0%,Yes,1,Samish Elementary School,2018-19,Sedro Woolley,WA,PUBLIC,5.4%,98284,1,1
1215 E 5th,1714,exempt,PUBLIC,2764,Exemption,Arlington,15,Snohomish,Arlington,Educational Service District 189,92,92,School,K-12,Personal,15.6%,48.19775,-122.11385,1,16.3%,Yes,1,Stillaguamish Valley Learning Center,2018-19,Arlington,WA,PUBLIC,17.2%,98223,1,1
22901 106TH AVE W,3605,exempt,PUBLIC,2764,Exemption,Edmonds,24,Snohomish,Edmonds,Educational Service District 189,539,539,School,K-12,Personal,4.3%,47.79146,-122.37482,1,4.5%,Yes,1,Sherwood Elementary,2018-19,Edmonds,WA,PUBLIC,4.6%,98020,1,1
9601 220TH ST SW,3186,exempt,PUBLIC,2764,Exemption,Edmonds,26,Snohomish,Edmonds,Educational Service District 189,544,544,School,K-12,Personal,4.7%,47.79968,-122.36181,1,4.8%,Yes,1,Westgate Elementary,2018-19,Edmonds,WA,PUBLIC,5.0%,98020,1,1
8426 188TH ST SW,3461,exempt,PUBLIC,2764,Exemption,Edmonds,21,Snohomish,Edmonds,Educational Service District 189,438,438,School,K-12,Personal,4.7%,47.82859,-122.34727,1,4.8%,Yes,1,Seaview Elementary,2018-19,Edmonds,WA,PUBLIC,5.0%,98026,1,1
17405 42ND AVE W,3410,exempt,PUBLIC,2764,Exemption,Lynnwood,12,Snohomish,Edmonds,Educational Service District 189,580,580,School,K-12,Personal,2.0%,47.84294,-122.28379,1,2.1%,Yes,1,Spruce Elementary,2018-19,Edmonds,WA,PUBLIC,2.2%,98037,1,1
15500 18TH AVE W,3608,exempt,PUBLIC,2764,Exemption,Lynnwood,21,Snohomish,Edmonds,Educational Service District 189,614,614,School,K-12,Personal,3.3%,47.85802,-122.25913,1,3.4%,Yes,1,Oak Heights Elementary,2018-19,Edmonds,WA,PUBLIC,3.6%,98087,1,1
5409 228TH ST SW,2888,exempt,PUBLIC,2764,Exemption,Mtlk Terrac,11,Snohomish,Edmonds,Educational Service District 189,296,296,School,K-12,Personal,3.5%,47.79212,-122.30621,1,3.7%,Yes,1,Terrace Park Elementary,2018-19,Edmonds,WA,PUBLIC,4.0%,98043,1,1
3516 Rucker Ave,1907,exempt,PUBLIC,2764,Exemption,Everett,21,Snohomish,Everett,Educational Service District 189,93,93,School,K-12,Personal,21.9%,47.97097,-122.21122,1,22.6%,Yes,1,Port Gardner,2018-19,Everett,WA,PUBLIC,23.5%,98201,1,1
12711 51st Avenue SE,4184,exempt,PUBLIC,2764,Exemption,Everett,34,Snohomish,Snohomish,Educational Service District 189,654,654,School,K-12,Personal,5.1%,47.88148,-122.16365,1,5.2%,Yes,1,Seattle Hill Elementary,2018-19,Snohomish,WA,PUBLIC,5.4%,98208,1,1
1601 Avenue D,1730,exempt,PUBLIC,2764,Exemption,Snohomish,2,Snohomish,Snohomish,Educational Service District 189,53,53,School,K-12,Personal,3.0%,47.93215,-122.09917,1,3.8%,Yes,1,Snohomish Center,2018-19,Snohomish,WA,PUBLIC,5.2%,98290,1,1
525 13th Street,1904,exempt,PUBLIC,2764,Exemption,Snohomish,7,Snohomish,Snohomish,Educational Service District 189,79,79,School,K-12,Personal,8.2%,47.92756,-122.08773,1,8.9%,Yes,1,Parent Partnership,2018-19,Snohomish,WA,PUBLIC,9.9%,98290,1,1
7322 64th Street SE,3561,exempt,PUBLIC,2764,Exemption,Snohomish,46,Snohomish,Snohomish,Educational Service District 189,562,562,School,K-12,Personal,8.0%,47.93851,-122.13065,1,8.2%,Yes,1,Riverview Elementary,2018-19,Snohomish,WA,PUBLIC,8.4%,98290,1,1
14211 Snohomish-Cascade,4383,exempt,PUBLIC,2764,Exemption,Snohomish,13,Snohomish,Snohomish,Educational Service District 189,456,456,School,K-12,Personal,2.7%,47.8683,-122.14458,1,2.9%,Yes,1,Totem Falls,2018-19,Snohomish,WA,PUBLIC,3.0%,98296,1,1
9307 271st Street NW,5004,exempt,PUBLIC,2764,Exemption,Stanwood,26,Snohomish,Stanwood,Educational Service District 189,164,164,School,K-12,Personal,15.4%,48.24203,-122.35874,1,15.9%,Yes,1,Saratoga School,2018-19,Stanwood,WA,PUBLIC,16.4%,98292,1,1
22000 E WELLESLEY AVE,2955,exempt,PUBLIC,2764,Exemption,Otis Orchar,40,Spokane,East Valley  (Spokane),Educational Service District 101,400,400,School,K-12,Personal,9.8%,47.69942,-117.11012,1,10.0%,Yes,1,Otis Orchards School,2018-19,East Valley  (Spokane),WA,PUBLIC,10.3%,99027,1,1
3303 N PINES RD,2653,exempt,PUBLIC,2764,Exemption,Spokane Val,9,Spokane,East Valley  (Spokane),Educational Service District 101,476,476,School,K-12,Personal,1.8%,47.68716,-117.23902,1,1.9%,Yes,1,Trent School,2018-19,East Valley  (Spokane),WA,PUBLIC,2.1%,99206,1,1
14701 E WELLESLEY AVE,3128,exempt,PUBLIC,2764,Exemption,Spokane Val,30,Spokane,East Valley  (Spokane),Educational Service District 101,437,437,School,K-12,Personal,6.7%,47.70047,-117.20317,1,6.9%,Yes,1,Trentwood School,2018-19,East Valley  (Spokane),WA,PUBLIC,7.1%,99216,1,1
13120 N PITTSBURG ST,4134,exempt,PUBLIC,2764,Exemption,Spokane,21,Spokane,Mead,Educational Service District 101,555,555,School,K-12,Personal,3.7%,47.77626,-117.3847,1,3.8%,Yes,1,Shiloh Hills Elementary,2018-19,Mead,WA,PUBLIC,4.0%,99208,1,1
7626 N. Orchard Prairie,3723,exempt,PUBLIC,2764,Exemption,Spokane,13,Spokane,Orchard Prairie,Educational Service District 101,77,77,School,K-12,Personal,16.1%,47.73173,-117.31513,1,16.9%,Yes,1,Orchard Prairie Elementary,2018-19,Orchard Prairie,WA,PUBLIC,17.9%,99217,1,1
3500 SE 196th Ave,803O,exempt,PRIVATE,2764,Exemption,Camas,0,Clark,Camas,Educational Service District 112,No Report,0,School,K-12,Personal,0.0%,45.59556,-122.47322,1,0.0%,,0,Kids Unlimited Dba Tree Hill Learning,2018-19,Camas,WA,PRIVATE,0.0%,98607,0,0
14600 NE 24th St,8292,exempt,PRIVATE,2764,Exemption,Bellevue,0,King,Bellevue,Educational Service District 121,No Report,0,School,K-12,Personal,0.0%,47.63159,-122.14577,1,0.0%,,0,Bellevue Children'S Academy,2018-19,Bellevue,WA,PRIVATE,0.0%,98007,0,0
14224 Bel Red Rd,804P,exempt,PRIVATE,2764,Exemption,Bellevue,0,King,Bellevue,Educational Service District 121,Suppressed Data,0,School,K-12,Personal,0.0%,47.62451,-122.15339,1,0.0%,,0,Bk Academy,2018-19,Bellevue,WA,PRIVATE,0.0%,98007,0,0
2400 11th Ave E,8059,exempt,PRIVATE,2764,Exemption,Seattle,0,King,Olympia,Educational Service District 121,No Report,0,School,K-12,Personal,0.0%,47.64085,-122.31786,1,0.0%,,0,Seattle Preparatory School,2018-19,Olympia,WA,PRIVATE,0.0%,98102,0,0
1900 N 170th St,3102,exempt,PRIVATE,2764,Exemption,Shoreline,0,King,Shoreline,Educational Service District 121,Suppressed Data,0,School,K-12,Personal,0.0%,47.75243,-122.33653,1,0.0%,,0,Shoreline Children'S Center,2018-19,Shoreline,WA,PRIVATE,0.0%,98133,0,0
408 A Craig Road,803J,exempt,PRIVATE,2764,Exemption,Packwood,0,Lewis,White Pass,Educational Service District 113,Suppressed Data,0,School,K-12,Personal,0.0%,46.62032,-121.69843,1,0.0%,,0,Cowlitz School At The Confluence,2018-19,White Pass,WA,PRIVATE,0.0%,98361,0,0
2194 N Schoonover Rd,8395,exempt,PRIVATE,2764,Exemption,Odessa,0,Lincoln,Ritzville,Educational Service District 101,No Report,0,School,K-12,Personal,0.0%,47.17664,-118.59845,1,0.0%,,0,Rock Creek Hutterite,2018-19,Ritzville,WA,PRIVATE,0.0%,99159,0,0
29 Jubilee Circle,8167,exempt,PRIVATE,2764,Exemption,Prescott,0,Walla Walla,Prescott,Educational Service District 123,No Report,0,School,K-12,Personal,0.0%,46.3804,-118.6532,1,0.0%,,0,Jubilee Leadership Academy,2018-19,Prescott,WA,PRIVATE,0.0%,99348,0,0
2710 McKenzie Ave,803i,exempt,PRIVATE,2764,Exemption,Bellingham,0,Whatcom,Bellingham,Educational Service District 189,No Report,0,School,K-12,Personal,0.0%,48.71911,-122.48232,1,0.0%,,0,Cascades Montessori Middle School,2018-19,Bellingham,WA,PRIVATE,0.0%,98225,0,0
5431 Steilacoom Blvd SW,1880,exempt,PUBLIC,2764,Exemption,Lakewood,0,Pierce,Clover Park,Educational Service District 121,Suppressed Data,0,School,K-12,Personal,0.0%,47.17662,-122.50991,1,0.0%,,0,Re-Entry High School,2018-19,Clover Park,WA,PUBLIC,0.0%,98499,0,0
19400 56TH AVE W,3185,exempt,PUBLIC,2764,Exemption,Lynnwood,0,Snohomish,Edmonds,Educational Service District 189,No Report,0,School,K-12,Personal,0.0%,47.82243,-122.30814,1,0.0%,,0,Early Childhood Center,2018-19,Edmonds,WA,PUBLIC,0.0%,98036,0,0
115 S University Rd,5278,exempt,PUBLIC,2764,Exemption,Spokane Val,0,Spokane,Central Valley,Educational Service District 101,No Report,0,School,K-12,Personal,0.0%,47.65595,-117.26069,1,0.0%,,0,Spokane Valley Tech,2018-19,Central Valley,WA,PUBLIC,0.0%,99206,0,0
PO Box 7,5283,exempt,PUBLIC,2764,Exemption,Hunters,0,Stevens,Columbia (Stevens),Educational Service District 101,Suppressed Data,0,School,K-12,Personal,0.0%,48.1697,-118.11569,1,0.0%,,0,Columbia Alternative School,2018-19,Columbia (Stevens),WA,PUBLIC,0.0%,99137,0,0
600 E. Alder,1962,exempt,PUBLIC,2764,Exemption,Palouse,0,Whitman,Palouse,Educational Service District 101,No Report,0,School,K-12,Personal,0.0%,46.91213,-117.07114,1,0.0%,,0,Garfield At Palouse High School,2018-19,Palouse,WA,PUBLIC,0.0%,99161,0,0
675 E Whidbey Ave,1478,exempt,PRIVATE,2764,Exemption,Oak Harbor,3,Island,Oak Harbor,Educational Service District 189,16,16,School,K-12,Personal,15.8%,48.29837,-122.65195,1,18.8%,No,0,North Whidbey Christian High,2018-19,Oak Harbor,WA,PRIVATE,23.1%,98277,0,0
11100 NE 189th St,8012,exempt,PRIVATE,2764,Exemption,Battle Grou,9,Clark,Battle Ground,Educational Service District 112,121,121,School,K-12,Personal,7.0%,45.762,-122.55923,1,7.4%,Yes,0,Columbia Adventist Academy,2018-19,Battle Ground,WA,PRIVATE,8.1%,98604,0,0
316 4th Ave S,802S,exempt,PRIVATE,2764,Exemption,Kirkland,2,King,Lake Washington,Educational Service District 121,37,37,School,K-12,Personal,4.3%,47.67265,-122.20086,1,5.4%,Yes,0,Leadership Preparatory Academy,2018-19,Lake Washington,WA,PRIVATE,7.4%,98033,0,0
3000 Lightning Way,8310,exempt,PRIVATE,2764,Exemption,Union Gap,1,Yakima,Yakima,Educational Service District 105,218,218,School,K-12,Personal,0.3%,46.57051,-120.49996,1,0.5%,Yes,0,La Salle High School,2018-19,Union Gap,WA,PRIVATE,0.8%,98903,0,0
500 SOUTH DAYTON STREET,2826,exempt,PUBLIC,2764,Exemption,Kennewick,42,Benton,Kennewick,Educational Service District 123,1696,1696,School,K-12,Personal,2.4%,46.20628,-119.12531,1,2.5%,Yes,0,Kennewick High School,2018-19,Kennewick,WA,PUBLIC,2.5%,99336,0,0
P.O. Box 950,2241,exempt,PUBLIC,2764,Exemption,Pomeroy,2,Garfield,Pomeroy,Educational Service District 123,149,149,School,K-12,Personal,1.1%,46.46458,-117.76872,1,1.3%,Yes,0,Pomeroy Jr Sr High School,2018-19,Pomeroy,WA,PUBLIC,1.9%,99347,0,0
2800 SW 320TH ST,3766,exempt,PUBLIC,2764,Exemption,Federal Way,22,King,Federal Way,Educational Service District 121,1438,1438,School,K-12,Personal,1.5%,47.31712,-122.36856,1,1.5%,Yes,0,Decatur High School,2018-19,Federal Way,WA,PUBLIC,1.6%,98023,0,0
8001 SILVA AVE SE,5374,exempt,PUBLIC,2764,Exemption,Snoqualmie,6,King,Snoqualmie Valley,Educational Service District 121,38,38,School,K-12,Personal,14.4%,47.52808,-121.82821,1,15.8%,Yes,0,Svsd Open Doors,2018-19,Snoqualmie Valley,WA,PUBLIC,17.8%,98065,0,0
4800 S. 188th St,5468,exempt,PUBLIC,2764,Exemption,Seatac,0,King,Tacoma,Educational Service District 121,242,242,School,K-12,Personal,0.0%,47.53441,-122.28227,1,0.0%,Yes,0,Rainier Valley Leadership Academy,2018-19,Seattle,WA,PUBLIC,0.3%,98118,0,0
P.O. Box 1328,3762,exempt,PUBLIC,2764,Exemption,Ferndale,40,Whatcom,Ferndale,Educational Service District 189,592,592,School,K-12,Personal,6.6%,48.86172,-122.60762,1,6.8%,Yes,0,Vista Middle School,2018-19,Ferndale,WA,PUBLIC,6.9%,98248,0,0
51 Harold Young Rd,804D,exempt,PRIVATE,2764,Exemption,South Bend,0,Pacific,South Bend,Educational Service District 113,Suppressed Data,0,School,K-12,Personal,0.0%,46.60985,-123.87239,1,0.0%,,0,Misson Creek Christian Education Cente,2018-19,South Bend,WA,PRIVATE,0.0%,98586,1,0
925 Court C,800M,exempt,PRIVATE,2764,Exemption,Tacoma,0,Pierce,Tacoma,Educational Service District 121,No Report,0,School,K-12,Personal,0.0%,47.25417,-122.44104,1,0.0%,,0,Seabury School--Middle School Campus,2018-19,Tacoma,WA,PRIVATE,0.0%,98402,1,0
5431 Steilacoom Blvd SW,1881,exempt,PUBLIC,2764,Exemption,Lakewood,0,Pierce,Clover Park,Educational Service District 121,Suppressed Data,0,School,K-12,Personal,0.0%,47.17662,-122.50991,1,0.0%,,0,Re-Entry Middle School,2018-19,Clover Park,WA,PUBLIC,0.0%,98499,1,0
600 E Alder Street,1961,exempt,PUBLIC,2764,Exemption,Palouse,0,Whitman,Palouse,Educational Service District 101,No Report,0,School,K-12,Personal,0.0%,46.91213,-117.07114,1,0.0%,,0,Palouse At Garfield Middle School,2018-19,Palouse,WA,PUBLIC,0.0%,99161,1,0
1700 Lincoln Rd NE  Sui,8874,exempt,PRIVATE,2764,Exemption,Poulsbo,3,Kitsap,North Kitsap,Educational Service District 114,12,12,School,K-12,Personal,20.9%,47.73906,-122.62732,1,25.0%,No,0,Poulsbo Sda School,2018-19,North Kitsap,WA,PRIVATE,30.6%,98370,1,0
14640 NE 24th St,801T,exempt,PRIVATE,2764,Exemption,Bellevue,9,King,Bellevue,Educational Service District 121,247,247,School,K-12,Personal,3.4%,47.62633,-122.14923,1,3.6%,Yes,0,Bellevue Children'S Academy  2Nd Locat,2018-19,Bellevue,WA,PRIVATE,4.0%,98007,1,0
2706 S Jackson St,8500,exempt,PRIVATE,2764,Exemption,Seattle,1,King,Seattle,Educational Service District 121,132,132,School,K-12,Personal,0.5%,47.59931,-122.29719,1,0.8%,Yes,0,Seattle Girls School,2018-19,Seattle,WA,PRIVATE,1.3%,98144,1,0
504 2nd St SW,8128,exempt,PRIVATE,2764,Exemption,Puyallup,0,Pierce,Puyallup,Educational Service District 121,241,241,School,K-12,Personal,0.0%,47.18765,-122.29513,1,0.0%,Yes,0,All Saints School,2018-19,Puyallup,WA,PRIVATE,0.3%,98371,1,0
202 S. Garfield St,1884,exempt,PUBLIC,2764,Exemption,Kennewick,0,Benton,Kennewick,Educational Service District 123,107,107,School,K-12,Personal,0.0%,46.20586,-119.12732,1,0.0%,Yes,0,Legacy High School Kennewick,2018-19,Kennewick,WA,PUBLIC,0.7%,99336,1,0
1011 WEST 10TH AVENUE,3472,exempt,PUBLIC,2764,Exemption,Kennewick,6,Benton,Kennewick,Educational Service District 123,684,684,School,K-12,Personal,0.8%,46.19839,-119.13193,1,0.9%,Yes,0,Park Middle School,2018-19,Kennewick,WA,PUBLIC,1.0%,99336,1,0
1801 E SHEPPARD ST,4564,exempt,PUBLIC,2764,Exemption,Pasco,1,Franklin,Pasco,Educational Service District 123,739,739,School,K-12,Personal,0.1%,46.246,-119.07063,1,0.1%,Yes,0,Ellen Ochoa Middle School,2018-19,Pasco,WA,PUBLIC,0.2%,99301,1,0
33914 19th Ave SW,5138,exempt,PUBLIC,2764,Exemption,Federal Way,9,King,Federal Way,Educational Service District 121,638,638,School,K-12,Personal,1.3%,47.36202,-122.28397,1,1.4%,Yes,0,Technology Access Foundation Academy,2018-19,Federal Way,WA,PUBLIC,1.5%,98032,1,0
19300 108th Ave SE,5377,exempt,PUBLIC,2764,Exemption,Kent,0,King,Seattle,Educational Service District 121,170,170,School,K-12,Personal,0.0%,47.4289,-122.19532,1,0.0%,Yes,0,Excel Public Charter School,2018-19,Excel Public Charter School Lea,WA,PUBLIC,0.4%,98031,1,0
801 7TH STREET,3173,exempt,PUBLIC,2764,Exemption,Davenport,21,Lincoln,Davenport,Educational Service District 101,319,319,School,K-12,Personal,6.4%,47.65083,-118.15097,1,6.6%,Yes,0,Davenport Senior High School,2018-19,Davenport,WA,PUBLIC,6.9%,99122,1,0
5900 54th Ave SE,5168,exempt,PUBLIC,2764,Exemption,Lacey,12,Thurston,North Thurston,Educational Service District 113,287,287,School,K-12,Personal,4.0%,47.00162,-122.8053,1,4.2%,Yes,0,Aspire Middle School,2018-19,North Thurston,WA,PUBLIC,4.5%,98513,1,0
8605 Campus Glen Dr NE,5452,exempt,PUBLIC,2764,Exemption,Lacey,13,Thurston,North Thurston,Educational Service District 113,765,765,School,K-12,Personal,1.6%,47.08271,-122.76063,1,1.7%,Yes,0,Salish Middle School,2018-19,North Thurston,WA,PUBLIC,1.8%,98516,1,0
2010 BEAUDRY RD,4055,exempt,PUBLIC,2764,Exemption,Yakima,10,Yakima,East Valley (Yakima),Educational Service District 105,800,800,School,K-12,Personal,1.2%,46.57148,-120.40393,1,1.3%,Yes,0,East Valley Central Middle School,2018-19,East Valley  (Yakima),WA,PUBLIC,1.4%,98901,1,0
1801 NE 53rd St,8907,exempt,PRIVATE,2764,Exemption,Tacoma,0,Pierce,Tacoma,Educational Service District 121,No Report,0,School,K-12,Personal,0.0%,47.30477,-122.42366,1,0.0%,,0,Seabury School,2018-19,Tacoma,WA,PRIVATE,0.0%,98422,0,1
501 C ST NW,4229,exempt,PUBLIC,2764,Exemption,Ephrata,0,Grant,Ephrata,Educational Service District 171,Suppressed Data,0,School,K-12,Personal,0.0%,47.32622,-119.54972,1,0.0%,,0,Beezley Springs Elementary,2018-19,Ephrata,WA,PUBLIC,0.0%,98823,0,1
2415 74th St. N.E.,5350,exempt,PUBLIC,2764,Exemption,Tulalip,0,Snohomish,Marysville,Educational Service District 189,No Report,0,School,K-12,Personal,0.0%,48.0632,-122.1973,1,0.0%,,0,Quil Ceda Tulalip Elementary,2018-19,Marysville,WA,PUBLIC,0.0%,98271,0,1
297 NE Harvest Dr.,801I,exempt,PRIVATE,2764,Exemption,Oak Harbor,0,Island,Oak Harbor,Educational Service District 189,15,15,School,K-12,Personal,0.0%,48.3007,-122.65119,1,0.0%,No,0,North Whidbey Kids' Academy,2018-19,Oak Harbor,WA,PRIVATE,4.8%,98277,0,1
12978 Beverly Park Rd,1411,exempt,PRIVATE,2764,Exemption,Mukilteo,1,Snohomish,Mukilteo,Educational Service District 189,11,11,School,K-12,Personal,5.7%,47.88145,-122.28177,1,9.1%,No,0,Mukilteo Academy,2018-19,Mukilteo,WA,PRIVATE,15.5%,98275,0,1
PO BOX 40,2278,exempt,PUBLIC,2764,Exemption,Dixie,0,Walla Walla,Dixie,Educational Service District 123,16,16,School,K-12,Personal,0.0%,46.14082,-118.15306,1,0.0%,No,0,Dixie Elementary School,2018-19,Dixie,WA,PUBLIC,4.5%,99329,0,1
2204 NE Birch St,801X,exempt,PRIVATE,2764,Exemption,Camas,5,Clark,Camas,Educational Service District 112,55,55,School,K-12,Personal,8.2%,45.59513,-122.40726,1,9.1%,Yes,0,Spanish With Sarah,2018-19,Camas,WA,PRIVATE,10.5%,98607,0,1
2205 NW 67th St,8165,exempt,PRIVATE,2764,Exemption,Seattle,0,King,Seattle,Educational Service District 121,32,32,School,K-12,Personal,0.0%,47.67761,-122.38442,1,0.0%,Yes,0,Matheia School,2018-19,Seattle,WA,PRIVATE,2.3%,98117,0,1
620 20th Ave S,8978,exempt,PRIVATE,2764,Exemption,Seattle,11,King,Seattle,Educational Service District 121,125,125,School,K-12,Personal,8.4%,47.59874,-122.30627,1,8.8%,Yes,0,Giddens School,2018-19,Seattle,WA,PRIVATE,9.5%,98144,0,1
1054 SE Oak St,8342,exempt,PRIVATE,2764,Exemption,White Salm,5,Klickitat,White Salmon Valley,Educational Service District 112,27,27,School,K-12,Personal,16.6%,45.7214,-121.47499,1,18.5%,Yes,0,Little Oak Montessori School,2018-19,White Salmon Valley,WA,PRIVATE,21.2%,98672,0,1
2323 54th Ave E,8469,exempt,PRIVATE,2764,Exemption,Fife,2,Pierce,Fife,Educational Service District 121,81,81,School,K-12,Personal,2.0%,47.2361,-122.35706,1,2.5%,Yes,0,All Saints School Fife,2018-19,Fife,WA,PRIVATE,3.4%,98424,0,1
733 Village Way,8995,exempt,PRIVATE,2764,Exemption,Monroe,1,Snohomish,Monroe,Educational Service District 189,54,54,School,K-12,Personal,1.2%,47.84998,-121.9858,1,1.9%,Yes,0,Monroe Montessori School,2018-19,Monroe,WA,PRIVATE,3.2%,98272,0,1
116 W Indiana Ave,802X,exempt,PRIVATE,2764,Exemption,Spokane,0,Spokane,Spokane,Educational Service District 101,24,24,School,K-12,Personal,0.0%,47.6752,-117.41397,1,0.0%,Yes,0,Northwest Achieve Schools,2018-19,Spokane,WA,PRIVATE,3.1%,99205,0,1
910 EAST 10TH AVENUE,2824,exempt,PUBLIC,2764,Exemption,Kennewick,6,Benton,Kennewick,Educational Service District 123,565,565,School,K-12,Personal,1.0%,46.19817,-119.10419,1,1.1%,Yes,0,Eastgate Elementary School,2018-19,Kennewick,WA,PUBLIC,1.2%,99336,0,1
350 W. Fir Street,2722,exempt,PUBLIC,2764,Exemption,Sequim,33,Clallam,Sequim,Educational Service District 114,588,588,School,K-12,Personal,5.5%,48.08486,-123.10544,1,5.6%,Yes,0,Helen Haller Elementary School,2018-19,Sequim,WA,PUBLIC,5.8%,98382,0,1
431 27th Avenue,2370,exempt,PUBLIC,2764,Exemption,Longview,4,Cowlitz,Longview,Educational Service District 112,350,350,School,K-12,Personal,1.0%,46.12845,-122.95964,1,1.1%,Yes,0,Saint Helens Elementary,2018-19,Longview,WA,PUBLIC,1.4%,98632,0,1
800 Dibb Street,3641,exempt,PUBLIC,2764,Exemption,Bremerton,6,Kitsap,Bremerton,Educational Service District 114,421,421,School,K-12,Personal,1.3%,47.5924,-122.63482,1,1.4%,Yes,0,Armin Jahr Elementary,2018-19,Bremerton,WA,PUBLIC,1.6%,98310,0,1
900 Olympic Avenue,3171,exempt,PUBLIC,2764,Exemption,Bremerton,9,Kitsap,Bremerton,Educational Service District 114,341,341,School,K-12,Personal,2.5%,47.56953,-122.64892,1,2.6%,Yes,0,Naval Avenue Elementary School,2018-19,Bremerton,WA,PUBLIC,2.9%,98312,0,1
PO Box 549,2998,exempt,PUBLIC,2764,Exemption,Toledo,21,Lewis,Toledo,Educational Service District 113,341,341,School,K-12,Personal,6.0%,46.44678,-122.8183,1,6.2%,Yes,0,Toledo Elementary School,2018-19,Toledo,WA,PUBLIC,6.4%,98591,0,1
21344 Rd 18 NE,8494,exempt,PRIVATE,2764,Exemption,Marlin,0,Grant,Wilson Creek,Educational Service District 171,No Report,0,School,K-12,Personal,0.0%,47.34912,-119.03588,1,0.0%,,0,Marlin Hutterite School,2018-19,Wilson Creek,WA,PRIVATE,0.0%,98832,1,1
33 E Snowden Rd,8595,exempt,PRIVATE,2764,Exemption,Odessa,0,Lincoln,Odessa,Educational Service District 101,No Report,0,School,K-12,Personal,0.0%,47.23592,-118.79295,1,0.0%,,0,Stahlville School,2018-19,Odessa,WA,PRIVATE,0.0%,99159,1,1
23420 Jordan Rd,8826,exempt,PRIVATE,2764,Exemption,Arlington,0,Snohomish,Arlington,Educational Service District 189,Suppressed Data,0,School,K-12,Personal,0.0%,48.20832,-122.09829,1,0.0%,,0,Family Academy,2018-19,Arlington,WA,PRIVATE,0.0%,98223,1,1
3172 Peppers Bridge Rd,8418,exempt,PRIVATE,2764,Exemption,Walla Walla,0,Walla Walla,College Place,Educational Service District 123,No Report,0,School,K-12,Personal,0.0%,46.02858,-118.38195,1,0.0%,,0,Liberty Christian School,2018-19,College Place,WA,PRIVATE,0.0%,99362,1,1
1505 E Grant Ave,806D,exempt,PRIVATE,2764,Exemption,Sunnyside,0,Yakima,Sunnyside,Educational Service District 105,No Report,0,School,K-12,Personal,0.0%,46.32094,-120.00217,1,0.0%,,0,Trinity Reformed Christian School,2018-19,Sunnyside,WA,PRIVATE,0.0%,98944,1,1
611 Grand Blvd,4246,exempt,PUBLIC,2764,Exemption,Vancouver,0,Clark,Vancouver,Educational Service District 112,No Report,0,School,K-12,Personal,0.0%,45.6245,-122.63911,1,0.0%,,0,Washington State School For The Deaf,2018-19,Vancouver,WA,PUBLIC,0.0%,98661,1,1
122 Butler Loop Road,3405,exempt,PUBLIC,2764,Exemption,Skamania,0,Skamania,Skamania,Educational Service District 112,No Report,0,School,K-12,Personal,0.0%,45.62396,-122.0509,1,0.0%,,0,Skamania Elementary,2018-19,Skamania,WA,PUBLIC,0.0%,98648,1,1
